Field,Type,Graph,Nodes,Edges,Finished,Time,Algorithm,Separators generated,Results,First Width,Min Width,Max Width,Best Width Time,Best Width Count,Good width Count,First Fill,Min Fill,Max Fill,Best Fill Time,Best Fill Count,Good Fill Count,First ExpBags,Min ExpBags,Max ExpBags,Best ExpBags Time
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.02, , 7,20650, 19, 19, 19, 0.0, 20650, 20650, 1157, 1139, 1185, 460.0, 20650, 1855, 26377536, 26376448, 26601792, 9.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.105, , 7,25443, 19, 19, 19, 0.0, 25443, 25443, 1157, 1139, 1185, 375.0, 25443, 2055, 26377536, 26376448, 26601792, 12.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.038, , 7,23124, 19, 19, 19, 0.0, 23124, 23124, 1157, 1139, 1185, 392.0, 23124, 2013, 26377536, 26376448, 26601792, 8.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.325, , 6,241, 19, 19, 19, 0.0, 241, 241, 1157, 1151, 1161, 21.0, 241, 167, 26377536, 26376672, 26380608, 598.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.627, , 6,256, 19, 19, 19, 0.0, 256, 256, 1157, 1151, 1161, 21.0, 256, 178, 26377536, 26376448, 26380608, 583.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 601.388, , 7,2779, 19, 19, 19, 0.0, 2779, 2779, 1157, 1144, 1185, 361.0, 2779, 858, 26377536, 26376448, 26601792, 65.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.011, , 7,17664, 19, 19, 19, 0.0, 17664, 17664, 1157, 1139, 1185, 532.0, 17664, 1835, 26377536, 26376448, 26601792, 11.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.003, , 7,21714, 19, 19, 19, 0.0, 21714, 21714, 1157, 1139, 1185, 424.0, 21714, 1920, 26377536, 26376448, 26601792, 8.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.034, , 7,26524, 19, 19, 19, 0.0, 26524, 26524, 1157, 1139, 1185, 338.0, 26524, 2124, 26377536, 26376448, 26601792, 8.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.005, , 7,28045, 19, 19, 19, 0.0, 28045, 28045, 1157, 1139, 1185, 328.0, 28045, 2146, 26377536, 26376448, 26601792, 7.0
BN, Grids, grid10x10.f10.wrap, 100, 200, No, 600.018, , 7,22741, 19, 19, 19, 0.0, 22741, 22741, 1157, 1139, 1185, 409.0, 22741, 1973, 26377536, 26376448, 26601792, 9.0
Random, Probability30percent, 20, 20, 73, Yes, 617.505, , 167,21186, 10, 9, 12, 0.0, 2238, 18312, 45, 31, 72, 2.0, 2238, 4679, 7720, 4104, 29248, 1.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 3.168, , 37,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 3.357, , 37,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 3.288, , 37,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 4.144, , 37,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 3.178, , 37,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 9_HG, 19, 34, Yes, 3.117, , 28,588, 5, 4, 6, 0.0, 98, 322, 13, 11, 20, 0.0, 98, 266, 220, 188, 380, 0.0
TPCH, LogicBlox, 7_HG, 17, 31, Yes, 2.426, , 36,700, 4, 4, 4, 0.0, 700, 700, 11, 8, 12, 0.0, 700, 601, 184, 160, 192, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 2.994, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
BN, CSP, 54.wcsp, 67, 226, Yes, 147.454, , 49,5040, 13, 11, 14, 0.0, 3024, 4032, 32, 17, 56, 24.0, 3024, 1752, 36880, 12816, 70976, 24.0
Random, Probability30percent, 20, 20, 73, Yes, 450.958, , 120,21098, 10, 9, 12, 0.0, 2238, 18292, 45, 31, 72, 4.0, 2238, 4673, 7720, 4104, 29248, 4.0
Random, Probability70percent, 20, 20, 115, Yes, 2.666, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 2.667, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 2.667, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 2.984, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 2.666, , 23,337, 15, 13, 15, 0.0, 136, 337, 53, 39, 64, 0.0, 136, 294, 123904, 34816, 294912, 0.0
Random, Probability70percent, 20, 20, 115, Yes, 8.472, , 69,482, 15, 13, 15, 0.0, 166, 482, 53, 39, 64, 1.0, 166, 408, 123904, 34816, 294912, 1.0
Random, Probability70percent, 20, 20, 115, Yes, 8.211, , 80,482, 15, 13, 15, 0.0, 166, 482, 53, 39, 64, 2.0, 166, 408, 123904, 34816, 294912, 2.0
Random, Probability70percent, 20, 20, 115, Yes, 9.125, , 69,482, 15, 13, 15, 0.0, 166, 482, 53, 39, 64, 2.0, 166, 408, 123904, 34816, 294912, 2.0
Random, Probability70percent, 20, 20, 115, Yes, 8.57, , 69,482, 15, 13, 15, 0.0, 166, 482, 53, 39, 64, 2.0, 166, 408, 123904, 34816, 294912, 2.0
Random, Probability50percent, 20, 20, 95, Yes, 68.49, , 120,2767, 13, 11, 15, 0.0, 46, 2606, 57, 41, 75, 10.0, 46, 1364, 47360, 16640, 143360, 9.0
Random, Probability50percent, 20, 20, 95, Yes, 68.111, , 120,2767, 13, 11, 15, 0.0, 46, 2606, 57, 41, 75, 10.0, 46, 1364, 47360, 16640, 143360, 9.0
Random, Probability50percent, 20, 20, 95, Yes, 95.855, , 120,2310, 13, 11, 15, 0.0, 30, 2159, 57, 41, 75, 19.0, 30, 1093, 47360, 16640, 143360, 17.0
BN, CSP, 54.wcsp, 67, 226, Yes, 281.452, , 49,5040, 13, 11, 14, 0.0, 3024, 4032, 32, 17, 56, 44.0, 3024, 1752, 36880, 12816, 70976, 44.0
BN, CSP, 54.wcsp, 67, 226, Yes, 226.473, , 49,5040, 13, 11, 14, 0.0, 3024, 4032, 32, 17, 56, 39.0, 3024, 1752, 36880, 12816, 70976, 39.0
BN, CSP, 29.wcsp, 82, 380, No, 1083.823, , 49,18945, 16, 14, 18, 0.0, 8192, 15361, 55, 38, 81, 4.0, 8192, 15361, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 778.21, , 43,9473, 16, 14, 18, 0.0, 4097, 7681, 55, 38, 81, 6.0, 4097, 7681, 344868, 134948, 1578788, 6.0
BN, CSP, 29.wcsp, 82, 380, No, 92.297, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 91.675, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 93.91, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
BN, CSP, 29.wcsp, 82, 380, No, 88.32, , 35,2369, 16, 14, 18, 0.0, 1024, 1921, 55, 38, 81, 4.0, 1024, 1921, 344868, 134948, 1578788, 4.0
