file path,mode,enumeration_timeout,results,features extraction overhead,model,model_overhead,first TD prediction,first TD actual runtime,optimal TD prediction,optimal TD actual runtime
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,MULTILAYER_PERCEPTRON,0.251,43326.410780757484,3300.0,-14840.584565286063,1700.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,CV_PARAMETER_SELECTION,0.042,7637.762975831125,3300.0,3581.7162320881266,820.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,IBK,0.579,10156.70346151723,3300.0,3184.6804933569824,1550.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,LINEAR_REGRESSION,0.029,10676.103477494558,3300.0,2617.644210415616,1130.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,M5RULES,0.012,8831.540935706329,3300.0,3246.3576718226186,1760.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,ADDITIVE_REGRESSION,0.387,5159.999941904189,3300.0,5159.999941904189,3300.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,LEAST_MED_SQ,0.012,10107.750237971617,3300.0,3014.94873884134,740.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,PACE_REGRESSION,0.035,11336.916016810255,3300.0,2292.6881474369966,1180.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,PLS_CLASSIFIER,0.364,11082.2450876511,3300.0,1096.16077081964,1310.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3130,7.282,M5P,0.015,8882.851946807685,3300.0,3581.7162320881266,820.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,ISOTONIC_REGRESSION,0.015,5699.772486772486,3770.0,2393.5714285714284,1000.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,MULTILAYER_PERCEPTRON,0.18,12396.91988571607,3770.0,-11590.562824394285,2050.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,CV_PARAMETER_SELECTION,0.037,8882.851946807685,3770.0,4489.213332038631,1060.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,IBK,0.462,10160.095274552288,3770.0,3184.380313030729,1680.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,LINEAR_REGRESSION,0.048,10676.103477494558,3770.0,2617.644210415616,1330.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,M5RULES,0.009,8831.540935706329,3770.0,3246.3576718226186,2410.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,ADDITIVE_REGRESSION,0.402,5159.999941904189,3770.0,5159.999941904189,3770.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,LEAST_MED_SQ,0.006,10107.750237971617,3770.0,3492.856154038367,1330.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,PACE_REGRESSION,0.017,11336.916016810255,3770.0,2292.6881474369966,1430.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,PLS_CLASSIFIER,0.291,11082.2450876511,3770.0,1096.16077081964,1360.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2543,6.594,M5P,0.004,8882.851946807685,3770.0,4489.213332038631,1060.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,ISOTONIC_REGRESSION,0.013,5699.772486772486,3460.0,2393.5714285714284,1000.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,MULTILAYER_PERCEPTRON,0.187,12735.822590220345,3460.0,-22366.0290466026,1100.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,CV_PARAMETER_SELECTION,0.051,8882.851946807685,3460.0,3580.7448676724384,810.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,IBK,0.491,10160.63701240125,3460.0,3189.3240942620846,1410.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,LINEAR_REGRESSION,0.017,10676.103477494558,3460.0,2617.644210415616,1040.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,M5RULES,0.019,8831.540935706329,3460.0,3246.3576718226186,1670.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,ADDITIVE_REGRESSION,0.436,5159.999941904189,3460.0,5159.999941904189,3460.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,LEAST_MED_SQ,0.02,10107.750237971617,3460.0,2920.1963606120844,750.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,PACE_REGRESSION,0.026,11336.916016810255,3460.0,2292.6881474369966,1180.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,PLS_CLASSIFIER,0.404,11082.2450876511,3460.0,1096.16077081964,1270.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,3184,6.944,M5P,0.003,8882.851946807685,3460.0,3580.7448676724384,810.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,ISOTONIC_REGRESSION,0.022,5699.772486772486,3710.0,2393.5714285714284,1470.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,MULTILAYER_PERCEPTRON,0.099,0.0,3710.0,-8615.169676748279,1500.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,CV_PARAMETER_SELECTION,0.051,8882.851946807685,3710.0,4489.213332038631,1400.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,IBK,0.284,10160.63701240125,3710.0,3184.6804933569824,1930.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,LINEAR_REGRESSION,0.009,10676.103477494558,3710.0,2617.644210415616,1340.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,M5RULES,0.018,8831.540935706329,3710.0,3287.527156186694,2200.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,ADDITIVE_REGRESSION,0.144,5159.999941904189,3710.0,5159.999941904189,3710.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,LEAST_MED_SQ,0.011,10107.750237971617,3710.0,3492.856154038367,1340.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,PACE_REGRESSION,0.008,11336.916016810255,3710.0,2294.7911120158624,1720.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,PLS_CLASSIFIER,0.214,11082.2450876511,3710.0,1096.16077081964,1700.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,691,13.385,M5P,0.009,8882.851946807685,3710.0,4489.213332038631,1400.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,ISOTONIC_REGRESSION,0.027,5699.772486772486,4280.0,2393.5714285714284,1380.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,MULTILAYER_PERCEPTRON,0.247,28621.383668982675,4280.0,-6.31418550510505E7,3120.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,CV_PARAMETER_SELECTION,0.064,8882.851946807685,4280.0,3581.7162320881266,1160.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,IBK,0.656,10160.095274552288,4280.0,3189.6059549471715,1950.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,LINEAR_REGRESSION,0.018,10676.103477494558,4280.0,2617.644210415616,1360.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,M5RULES,0.019,8831.540935706329,4280.0,3246.3576718226186,2500.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,ADDITIVE_REGRESSION,0.448,5159.999941904189,4280.0,5159.999941904189,4280.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,LEAST_MED_SQ,0.019,10107.750237971617,4280.0,3492.856154038367,1360.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,PACE_REGRESSION,0.037,11336.916016810255,4280.0,2292.6881474369966,1530.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,PLS_CLASSIFIER,0.448,9607.136621170996,4280.0,1096.16077081964,1760.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2924,12.961,M5P,0.004,8882.851946807685,4280.0,3581.7162320881266,1160.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,ISOTONIC_REGRESSION,0.015,5699.772486772486,4260.0,2393.5714285714284,1370.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,MULTILAYER_PERCEPTRON,0.248,12396.91988571607,4260.0,-3357.4411938139037,1260.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,CV_PARAMETER_SELECTION,0.036,8882.851946807685,4260.0,3581.7162320881266,1070.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,IBK,0.885,10156.70346151723,4260.0,3189.3240942620846,2080.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,LINEAR_REGRESSION,0.01,10676.103477494558,4260.0,2617.644210415616,1160.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,M5RULES,0.018,8831.540935706329,4260.0,3246.3576718226186,2360.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,ADDITIVE_REGRESSION,0.835,5159.999941904189,4260.0,5159.999941904189,4260.0
/home/dvirdu/IdeaProjects/efficient-td-enum/datasets/3col/1/test/instances_width8_instance_n26_p0.10_008.lp,vanilla,30,2906,8.103,LEAST_MED_SQ,0.008,10107.750237971617,4260.0,3492.856154038367,1160.0
